hour,minute,volatility,success,next_return,target,multiplier
4,37,34169.7739,0.3146,0.0,2521,0.7
4,38,33814.234,0.3168,-0.0,2487,0.7
4,39,33580.414,0.3173,0.0,2512,0.7
4,40,34964.6825,0.3238,0.0,2520,0.7
4,41,34620.6483,0.3153,0.0,2499,0.7
4,42,34220.231,0.329,0.0,2511,0.7
4,43,32475.1801,0.311,0.0,2498,0.7
4,44,33181.6367,0.3285,-0.0,2505,0.7
4,45,36088.2002,0.3341,-0.0,2517,0.7
4,46,36067.0659,0.3158,-0.0,2505,0.7
4,47,35509.3217,0.3261,0.0,2521,0.7
4,48,34853.0466,0.3385,0.0,2511,0.7
4,49,34304.7467,0.3271,0.0,2507,0.7
4,50,36464.314,0.3497,0.0,2522,0.7
4,51,34717.9081,0.2968,0.0,2524,0.7
4,52,34812.5496,0.3058,-0.0,2518,0.7
4,53,33611.9462,0.2983,0.0,2528,0.7
4,54,33627.0378,0.3328,0.0,2515,0.7
4,55,35817.5327,0.3261,0.0,2521,0.7
4,56,34410.368,0.3288,-0.0,2527,0.7
4,57,33183.5845,0.2839,0.0,2522,0.7
4,58,32660.0712,0.3269,-0.0,2527,0.7
4,59,38175.5214,0.3361,0.0001,2541,0.7
5,0,46930.523,0.4859,0.0,2562,0.5
5,1,43443.5706,0.3673,0.0,2543,0.5
5,2,42350.5317,0.4116,0.0,2539,0.5
5,3,38803.7975,0.3766,0.0,2528,0.5
5,4,37769.6563,0.3765,0.0,2531,0.5
5,5,40248.817,0.3896,-0.0,2536,0.5
5,6,38717.8571,0.3798,-0.0,2520,0.5
5,7,38375.5441,0.3973,0.0,2527,0.5
5,8,38263.6796,0.3977,0.0,2522,0.5
5,9,36097.0297,0.3929,-0.0,2525,0.5
5,10,36548.4252,0.389,0.0,2540,0.5
5,11,36400.8723,0.4005,0.0,2522,0.5
5,12,35812.6482,0.3727,0.0,2530,0.5
5,13,35231.5914,0.3789,0.0,2526,0.5
5,14,34279.0881,0.3954,0.0,2544,0.5
5,15,37860.9689,0.4104,0.0001,2539,0.5
5,16,37564.1026,0.3779,0.0,2535,0.5
5,17,36363.457,0.3883,0.0,2534,0.5
5,18,36080.4598,0.3896,-0.0001,2523,0.5
5,19,34875.4941,0.3739,-0.0,2530,0.5
5,20,36692.0647,0.4082,0.0,2533,0.5
5,21,34484.1114,0.3841,0.0,2549,0.5
5,22,34195.738,0.3844,0.0,2534,0.5
5,23,34239.0282,0.3781,-0.0,2552,0.5
5,24,34413.0178,0.3807,0.0,2535,0.5
5,25,35010.6383,0.3861,-0.0,2538,0.5
5,26,34715.7521,0.3885,-0.0,2533,0.5
5,27,34367.0737,0.3864,0.0,2539,0.5
5,28,33201.5073,0.3705,0.0,2521,0.5
5,29,34486.8473,0.3875,0.0,2547,0.5
5,30,38805.8708,0.4114,-0.0,2555,0.5
5,31,36888.5375,0.3909,0.0,2530,0.5
5,32,35443.9197,0.3758,-0.0,2541,0.5
5,33,34634.0024,0.3711,-0.0,2541,0.5
5,34,34787.2171,0.3803,0.0,2519,0.5
5,35,34956.4706,0.3918,0.0,2550,0.5
5,36,34041.3549,0.3742,-0.0,2539,0.5
5,37,35474.5963,0.3852,0.0,2539,0.5
5,38,34471.305,0.3801,-0.0,2544,0.5
5,39,33428.1213,0.3765,0.0,2539,0.5
5,40,34087.6228,0.3874,0.0,2545,0.5
5,41,34852.2148,0.4022,0.0,2551,0.5
5,42,32915.7148,0.3742,-0.0,2539,0.5
5,43,32640.0786,0.3756,0.0,2545,0.5
5,44,33135.4535,0.3926,0.0001,2547,0.5
5,45,35612.5,0.3992,0.0,2560,0.5
5,46,35291.0945,0.3864,-0.0,2549,0.5
5,47,33348.6816,0.3794,0.0,2541,0.5
5,48,33482.1918,0.3789,0.0,2555,0.5
5,49,34590.8553,0.395,-0.0001,2537,0.5
5,50,35782.4726,0.3709,0.0,2556,0.5
5,51,34504.9232,0.3537,0.0001,2539,0.5
5,52,33654.6027,0.3942,-0.0001,2542,0.5
5,53,34257.1992,0.3976,0.0,2535,0.5
5,54,34065.9341,0.3854,0.0,2548,0.5
5,55,34330.9887,0.3998,0.0,2559,0.5
5,56,32831.6987,0.3782,-0.0,2549,0.5
5,57,32565.0295,0.3843,0.0,2545,0.5
5,58,32873.2449,0.3943,0.0,2564,0.5
5,59,36057.7448,0.4108,0.0,2563,0.5
6,0,40661.7188,0.4164,0.0,2560,0.5
6,1,37990.2988,0.3912,0.0,2577,0.5
6,2,35648.7329,0.3984,0.0,2565,0.5
6,3,35393.7038,0.3995,0.0,2573,0.5
6,4,34404.9941,0.3851,0.0,2563,0.5
6,5,35454.0163,0.3935,0.0,2577,0.5
6,6,33928.6268,0.3856,-0.0,2578,0.5
6,7,32949.7664,0.3902,0.0,2568,0.5
6,8,32794.3124,0.3833,-0.0,2567,0.5
6,9,34035.9515,0.4072,0.0,2559,0.5
6,10,34284.2718,0.3946,-0.0,2575,0.5
6,11,33198.9101,0.3893,0.0,2569,0.5
6,12,33210.8738,0.4082,0.0,2575,0.5
6,13,32310.4524,0.3787,-0.0,2564,0.5
6,14,32339.4175,0.3961,0.0,2575,0.5
6,15,35460.4344,0.4069,0.0,2578,0.5
6,16,33882.8549,0.3751,-0.0,2578,0.5
6,17,33563.735,0.3747,0.0,2581,0.5
6,18,32436.6252,0.3853,-0.0,2572,0.5
6,19,31909.8679,0.3827,0.0,2574,0.5
6,20,34514.7287,0.4016,0.0,2580,0.5
6,21,33630.2488,0.3857,0.0,2572,0.5
6,22,33615.3846,0.3858,0.0,2587,0.5
6,23,33106.8111,0.3947,0.0,2584,0.5
6,24,33141.9657,0.3916,0.0,2564,0.5
6,25,33564.0728,0.393,-0.0,2583,0.5
6,26,32640.856,0.377,-0.0,2570,0.5
6,27,32067.6253,0.3727,0.0,2573,0.5
6,28,30137.3157,0.3693,0.0,2578,0.5
6,29,30760.8103,0.3931,0.0,2567,0.5
6,30,33188.6135,0.4152,0.0,2582,0.5
6,31,33796.4396,0.3978,-0.0,2584,0.5
6,32,33288.6916,0.3817,0.0,2591,0.5
6,33,32775.3679,0.3826,0.0,2582,0.5
6,34,32864.8335,0.3865,-0.0,2582,0.5
6,35,33696.7118,0.395,0.0,2585,0.5
6,36,33151.8203,0.3823,0.0,2582,0.5
6,37,32678.0318,0.3859,0.0,2581,0.5
6,38,32008.1553,0.3973,0.0,2575,0.5
6,39,30650.4817,0.3877,0.0,2595,0.5
6,40,31860.7253,0.397,0.0,2592,0.5
6,41,32305.2427,0.3953,-0.0,2575,0.5
6,42,32414.7377,0.3943,-0.0,2592,0.5
6,43,32235.0213,0.3796,-0.0,2587,0.5
6,44,32507.5377,0.3954,0.0,2587,0.5
6,45,33302.3975,0.3998,-0.0,2586,0.5
6,46,33032.1332,0.3837,0.0,2583,0.5
6,47,32619.8379,0.384,0.0,2591,0.5
6,48,31485.9019,0.377,-0.0,2589,0.5
6,49,30404.6422,0.3768,0.0,2585,0.5
6,50,30809.726,0.3906,-0.0,2591,0.5
6,51,31010.0309,0.3827,-0.0,2592,0.5
6,52,30470.2932,0.3796,0.0,2592,0.5
